"predicted_win_prob","team","opponent","predicted_winner","game"
0.765218198299408,"Alabama","Texas A&M Corpus Chris","Alabama",1
0.920371055603027,"Purdue","Texas Southern","Purdue",2
0.906173527240753,"Houston","Northern Kentucky","Houston",3
0.906924486160278,"Kansas","Howard","Kansas",4
0.955819010734558,"Arizona","Princeton","Arizona",5
0.963425099849701,"Marquette","Vermont","Marquette",6
0.959250450134277,"Texas","Colgate","Texas",7
0.964668095111847,"UCLA","UNC Asheville","UCLA",8
0.928216576576233,"Baylor","UC Santa Barbara","Baylor",9
0.833232402801514,"Kansas St.","Montana St.","Kansas St.",10
0.80779767036438,"Xavier","Kennesaw St.","Xavier",11
0.947305798530579,"Gonzaga","Grand Canyon","Gonzaga",12
0.876142024993896,"Virginia","Furman","Virginia",13
0.878842771053314,"Tennessee","Louisiana Lafayette","Tennessee",14
0.221386656165123,"Indiana","Kent St.","Kent St.",15
0.520456910133362,"Connecticut","Iona","Connecticut",16
0.873842716217041,"San Diego St.","College of Charleston","San Diego St.",17
0.908137738704681,"Duke","Oral Roberts","Duke",18
0.865009009838104,"Miami FL","Drake","Miami FL",19
0.27548012137413,"Saint Mary's","VCU","VCU",20
0.472450911998749,"Creighton","North Carolina St.","North Carolina St.",21
0.502838611602783,"Kentucky","Providence","Kentucky",22
0.955943167209625,"Iowa St.","Pittsburgh","Iowa St.",23
0.824777901172638,"TCU","Arizona St.","TCU",24
0.20327365398407,"Missouri","Utah St.","Utah St.",25
0.594660639762878,"Michigan St.","USC","Michigan St.",26
0.876626133918762,"Texas A&M","Penn St.","Texas A&M",27
0.149290576577187,"Northwestern","Boise St.","Boise St.",28
0.280156791210175,"Maryland","West Virginia","West Virginia",29
0.462686091661453,"Memphis","Florida Atlantic","Florida Atlantic",30
0.45329087972641,"Iowa","Auburn","Auburn",31
0.738181948661804,"Arkansas","Illinois","Arkansas",32
